EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,2118,2,80,-2,5,5
1,2121,2,80,-2,5,6
1,2142,2,80,-2,5,1
1,2150,2,80,-2,5,6
1,2157,2,80,-2,5,7
1,2159,2,80,-2,5,5
1,6,3,80,-2,5,6
1,17,3,80,-2,5,7
1,18,3,80,-2,5,7
1,27,3,80,-2,5,6
1,31,3,80,-2,5,10
1,49,3,80,-2,5,8
1,51,3,80,-2,5,10
1,53,3,80,-2,5,9
1,54,3,80,-2,5,7
1,68,3,80,-2,5,9
1,73,3,80,-2,5,3
1,76,3,80,-2,5,8
1,85,3,80,-2,5,6
1,93,3,80,-2,5,9
1,98,3,80,-2,5,5
1,99,3,80,-2,5,9
1,116,3,80,-2,5,6
1,118,3,80,-2,5,10
1,120,3,80,-2,5,10
1,126,3,80,-2,5,6
1,135,3,80,-2,5,7
1,146,3,80,-2,5,6
1,152,3,80,-2,5,9
1,153,3,80,-2,5,8
1,160,3,80,-2,5,8
1,164,3,80,-2,5,9
1,183,3,80,-2,5,8
1,185,3,80,-2,5,3
1,186,3,80,-2,5,8
1,190,3,80,-2,5,8
1,208,3,80,-2,5,1
1,215,3,80,-2,5,7
1,217,3,80,-2,5,8
1,222,3,80,-2,5,10
1,229,3,80,-2,5,5
1,248,3,80,-2,5,3
1,249,3,80,-2,5,6
1,254,3,80,-2,5,9
1,261,3,80,-2,5,8
1,267,3,80,-2,5,9
1,274,3,80,-2,5,5
1,283,3,80,-2,5,8
1,296,3,80,-2,5,10
1,314,3,80,-2,5,5
1,319,3,80,-2,5,7
1,325,3,80,-2,5,8
1,352,3,80,-2,5,5
1,370,3,80,-2,5,9
1,389,3,80,-2,5,7
1,396,3,80,-2,5,7
1,397,3,80,-2,5,8
1,404,3,80,-2,5,8
1,416,3,80,-2,5,4
1,418,3,80,-2,5,7
1,423,3,80,-2,5,5
1,428,3,80,-2,5,3
1,430,3,80,-2,5,9
1,432,3,80,-2,5,5
1,440,3,80,-2,5,10
1,443,3,80,-2,5,9
1,445,3,80,-2,5,9
1,446,3,80,-2,5,9
1,447,3,80,-2,5,8
1,456,3,80,-2,5,6
1,459,3,80,-2,5,6
1,462,3,80,-2,5,8
1,465,3,80,-2,5,6
1,476,3,80,-2,5,9
1,480,3,80,-2,5,7
