EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,671,3,80,-2,5,5
1,672,3,80,-2,5,3
1,676,3,80,-2,5,2
1,690,3,80,-2,5,5
1,701,3,80,-2,5,3
1,703,3,80,-2,5,8
1,704,3,80,-2,5,3
1,714,3,80,-2,5,2
1,720,3,80,-2,5,4
1,722,3,80,-2,5,5
1,744,3,80,-2,5,4
1,746,3,80,-2,5,3
1,759,3,80,-2,5,4
1,761,3,80,-2,5,6
1,762,3,80,-2,5,5
1,767,3,80,-2,5,1
1,768,3,80,-2,5,3
1,772,3,80,-2,5,1
1,773,3,80,-2,5,3
1,782,3,80,-2,5,1
1,784,3,80,-2,5,5
1,809,3,80,-2,5,4
1,811,3,80,-2,5,1
1,820,3,80,-2,5,4
1,823,3,80,-2,5,1
1,832,3,80,-2,5,6
1,835,3,80,-2,5,9
1,848,3,80,-2,5,5
1,851,3,80,-2,5,6
1,855,3,80,-2,5,5
1,862,3,80,-2,5,6
1,863,3,80,-2,5,5
1,885,3,80,-2,5,3
1,889,3,80,-2,5,5
1,893,3,80,-2,5,2
1,901,3,80,-2,5,2
1,908,3,80,-2,5,1
1,913,3,80,-2,5,2
1,930,3,80,-2,5,1
1,935,3,80,-2,5,2
1,943,3,80,-2,5,3
1,955,3,80,-2,5,1
1,971,3,80,-2,5,3
1,977,3,80,-2,5,7
1,988,3,80,-2,5,8
1,990,3,80,-2,5,7
1,1007,3,80,-2,5,3
1,1021,3,80,-2,5,8
1,1023,3,80,-2,5,1
1,1028,3,80,-2,5,4
1,1031,3,80,-2,5,1
1,1051,3,80,-2,5,3
1,1061,3,80,-2,5,8
1,1063,3,80,-2,5,2
1,1068,3,80,-2,5,5
1,1074,3,80,-2,5,2
1,1079,3,80,-2,5,6
1,1094,3,80,-2,5,1
1,1097,3,80,-2,5,2
1,1116,3,80,-2,5,3
1,1118,3,80,-2,5,2
1,1123,3,80,-2,5,2
1,1126,3,80,-2,5,6
1,1138,3,80,-2,5,4
1,1149,3,80,-2,5,7
1,1150,3,80,-2,5,4
1,1168,3,80,-2,5,3
1,1172,3,80,-2,5,8
1,1180,3,80,-2,5,4
1,1181,3,80,-2,5,1
1,1184,3,80,-2,5,2
1,1194,3,80,-2,5,4
1,1195,3,80,-2,5,5
1,1198,3,80,-2,5,3
1,1205,3,80,-2,5,4
1,1211,3,80,-2,5,7
1,1216,3,80,-2,5,4
1,1227,3,80,-2,5,6
1,1234,3,80,-2,5,1
1,1235,3,80,-2,5,2
1,1245,3,80,-2,5,3
1,1260,3,80,-2,5,3
1,1263,3,80,-2,5,6
1,1269,3,80,-2,5,6
1,1290,3,80,-2,5,5
1,1298,3,80,-2,5,4
1,1303,3,80,-2,5,1
1,1308,3,80,-2,5,2
1,1321,3,80,-2,5,5
1,1329,3,80,-2,5,7
1,1345,3,80,-2,5,4
1,1347,3,80,-2,5,3
1,1352,3,80,-2,5,5
1,1358,3,80,-2,5,5
1,1374,3,80,-2,5,2
1,1379,3,80,-2,5,7
1,1385,3,80,-2,5,2
1,1391,3,80,-2,5,3
1,1401,3,80,-2,5,4
1,1412,3,80,-2,5,2
1,1432,3,80,-2,5,4
1,1441,3,80,-2,5,5
1,1446,3,80,-2,5,4
1,1457,3,80,-2,5,6
1,1464,3,80,-2,5,3
1,1473,3,80,-2,5,2
1,1497,3,80,-2,5,4
1,1515,3,80,-2,5,3
1,1525,3,80,-2,5,2
1,1532,3,80,-2,5,2
1,1536,3,80,-2,5,3
1,1539,3,80,-2,5,4
1,1555,3,80,-2,5,4
1,1563,3,80,-2,5,7
1,1566,3,80,-2,5,3
1,1576,3,80,-2,5,5
1,1578,3,80,-2,5,4
1,1586,3,80,-2,5,2
1,1589,3,80,-2,5,4
1,1594,3,80,-2,5,5
1,1601,3,80,-2,5,6
1,1613,3,80,-2,5,3
1,1618,3,80,-2,5,5
1,1629,3,80,-2,5,2
1,1645,3,80,-2,5,5
1,1647,3,80,-2,5,1
1,1649,3,80,-2,5,3
1,1675,3,80,-2,5,2
1,1696,3,80,-2,5,2
1,1699,3,80,-2,5,2
1,1711,3,80,-2,5,5
1,1722,3,80,-2,5,2
1,1729,3,80,-2,5,1
1,1738,3,80,-2,5,3
1,1747,3,80,-2,5,2
1,1755,3,80,-2,5,3
1,1759,3,80,-2,5,1
1,1767,3,80,-2,5,2
1,1773,3,80,-2,5,1
1,1782,3,80,-2,5,3
1,1793,3,80,-2,5,2
1,1803,3,80,-2,5,5
1,1814,3,80,-2,5,4
1,1823,3,80,-2,5,2
1,1827,3,80,-2,5,6
1,1836,3,80,-2,5,3
1,1843,3,80,-2,5,5
1,1869,3,80,-2,5,5
1,1877,3,80,-2,5,3
1,1888,3,80,-2,5,1
1,1908,3,80,-2,5,4
1,1916,3,80,-2,5,2
1,1925,3,80,-2,5,1
1,1926,3,80,-2,5,4
1,1942,3,80,-2,5,1
1,1966,3,80,-2,5,6
1,1974,3,80,-2,5,3
1,1983,3,80,-2,5,5
1,2000,3,80,-2,5,4
1,2005,3,80,-2,5,2
1,2009,3,80,-2,5,4
1,2038,3,80,-2,5,2
1,2051,3,80,-2,5,2
1,2055,3,80,-2,5,3
1,2064,3,80,-2,5,2
1,2079,3,80,-2,5,5
1,2084,3,80,-2,5,3
1,2111,3,80,-2,5,5
1,2115,3,80,-2,5,4
1,2125,3,80,-2,5,4
1,2127,3,80,-2,5,1
1,2143,3,80,-2,5,3
1,6,4,80,-2,5,5
1,8,4,80,-2,5,9
1,13,4,80,-2,5,5
1,19,4,80,-2,5,6
1,27,4,80,-2,5,4
1,28,4,80,-2,5,2
1,41,4,80,-2,5,2
1,54,4,80,-2,5,6
1,64,4,80,-2,5,7
1,65,4,80,-2,5,3
1,67,4,80,-2,5,4
1,68,4,80,-2,5,5
1,70,4,80,-2,5,5
1,80,4,80,-2,5,4
1,82,4,80,-2,5,8
1,85,4,80,-2,5,1
1,114,4,80,-2,5,10
1,115,4,80,-2,5,1
1,123,4,80,-2,5,2
1,124,4,80,-2,5,5
1,128,4,80,-2,5,6
1,131,4,80,-2,5,7
1,138,4,80,-2,5,2
1,144,4,80,-2,5,3
1,146,4,80,-2,5,3
1,166,4,80,-2,5,6
1,188,4,80,-2,5,8
1,190,4,80,-2,5,3
1,197,4,80,-2,5,5
1,213,4,80,-2,5,4
1,218,4,80,-2,5,10
1,232,4,80,-2,5,8
1,236,4,80,-2,5,5
1,258,4,80,-2,5,4
1,281,4,80,-2,5,1
1,299,4,80,-2,5,1
1,304,4,80,-2,5,3
1,314,4,80,-2,5,4
1,316,4,80,-2,5,5
1,329,4,80,-2,5,6
1,343,4,80,-2,5,3
1,353,4,80,-2,5,4
1,355,4,80,-2,5,3
1,360,4,80,-2,5,4
1,363,4,80,-2,5,5
1,375,4,80,-2,5,3
1,379,4,80,-2,5,3
1,396,4,80,-2,5,5
1,401,4,80,-2,5,1
1,420,4,80,-2,5,3
1,421,4,80,-2,5,4
1,433,4,80,-2,5,3
1,436,4,80,-2,5,3
1,443,4,80,-2,5,5
1,446,4,80,-2,5,8
1,449,4,80,-2,5,4
1,464,4,80,-2,5,1
1,467,4,80,-2,5,5
1,475,4,80,-2,5,6
1,492,4,80,-2,5,3
1,493,4,80,-2,5,2
1,500,4,80,-2,5,10
1,503,4,80,-2,5,8
1,506,4,80,-2,5,6
1,510,4,80,-2,5,5
1,523,4,80,-2,5,9
1,529,4,80,-2,5,4
1,538,4,80,-2,5,8
1,547,4,80,-2,5,5
1,554,4,80,-2,5,4
1,578,4,80,-2,5,5
1,582,4,80,-2,5,4
1,583,4,80,-2,5,3
1,599,4,80,-2,5,7
1,604,4,80,-2,5,7
1,607,4,80,-2,5,8
1,616,4,80,-2,5,9
1,625,4,80,-2,5,2
1,647,4,80,-2,5,4
1,655,4,80,-2,5,4
1,659,4,80,-2,5,3
1,671,4,80,-2,5,3
1,672,4,80,-2,5,5
1,676,4,80,-2,5,8
1,690,4,80,-2,5,5
1,701,4,80,-2,5,5
1,703,4,80,-2,5,3
1,704,4,80,-2,5,3
1,714,4,80,-2,5,5
1,720,4,80,-2,5,5
1,722,4,80,-2,5,5
1,744,4,80,-2,5,7
1,746,4,80,-2,5,5
1,759,4,80,-2,5,4
1,761,4,80,-2,5,2
1,762,4,80,-2,5,6
1,767,4,80,-2,5,2
1,768,4,80,-2,5,2
